timestamp,total,prod_1,prod_2,prod_3,prod_4
2025-10-06T22:52:23.457576+00:00,0.0,0.0,0.0,0.0,0.0
2025-10-06T22:57:33.336945+00:00,0.0,0.0,0.0,0.0,0.0
2025-10-06T23:16:57.522279+00:00,0.0,0.0,0.0,0.0,0.0
2025-10-06T23:32:58.081795+00:00,0.0,0.0,0.0,0.0,0.0
2025-10-06T23:43:33.921743+00:00,0.0,0.0,0.0,0.0,0.0
2025-10-06T23:54:29.115824+00:00,0.0,0.0,0.0,0.0,0.0
2025-10-07T00:48:27.974318+00:00,0.0,0.0,0.0,0.0,0.0
2025-10-07T02:17:38.778145+00:00,0.0,0.0,0.0,0.0,0.0
2025-10-07T03:11:32.696680+00:00,0.0,0.0,0.0,0.0,0.0
2025-10-07T03:44:17.143753+00:00,0.0,0.0,0.0,0.0,0.0
2025-10-07T03:55:32.478745+00:00,0.0,0.0,0.0,0.0,0.0
2025-10-07T04:19:48.743708+00:00,0.0,0.0,0.0,0.0,0.0
2025-10-07T04:39:40.980501+00:00,0.0,0.0,0.0,0.0,0.0
2025-10-07T04:52:47.672379+00:00,0.0,0.0,0.0,0.0,0.0
2025-10-07T05:03:37.765521+00:00,0.0,0.0,0.0,0.0,0.0
2025-10-07T05:29:09.518146+00:00,0.0,0.0,0.0,0.0,0.0
2025-10-07T05:44:25.234764+00:00,0.0,0.0,0.0,0.0,0.0
2025-10-07T05:54:13.120602+00:00,0.0,0.0,0.0,0.0,0.0
2025-10-07T06:04:23.606109+00:00,0.0,0.0,0.0,0.0,0.0
2025-10-07T06:42:35.538004+00:00,0.0,0.0,0.0,0.0,0.0
2025-10-07T06:58:37.971986+00:00,0.0,0.0,0.0,0.0,0.0
2025-10-07T07:19:33.693225+00:00,0.0,0.0,0.0,0.0,0.0
2025-10-07T07:34:03.035231+00:00,0.0,0.0,0.0,0.0,0.0
2025-10-07T07:46:24.089431+00:00,0.0,0.0,0.0,0.0,0.0
2025-10-07T07:57:02.209418+00:00,0.0,0.0,0.0,0.0,0.0
2025-10-07T08:22:35.197059+00:00,0.0,0.0,0.0,0.0,0.0
2025-10-07T08:45:01.090834+00:00,0.0,0.0,0.0,0.0,0.0
2025-10-07T08:59:16.887954+00:00,0.0,0.0,0.0,0.0,0.0
2025-10-07T09:24:27.627714+00:00,0.0,0.0,0.0,0.0,0.0
2025-10-07T09:40:00.591718+00:00,0.0,0.0,0.0,0.0,0.0
2025-10-07T09:50:52.705766+00:00,0.0,0.0,0.0,0.0,0.0
2025-10-07T10:03:11.205596+00:00,0.0,0.0,0.0,0.0,0.0
2025-10-07T10:30:44.020669+00:00,0.0,0.0,0.0,0.0,0.0
2025-10-07T10:47:16.788668+00:00,0.0,0.0,0.0,0.0,0.0
2025-10-07T10:58:30.031592+00:00,0.0,0.0,0.0,0.0,0.0
2025-10-07T11:17:40.396710+00:00,0.0,0.0,0.0,0.0,0.0
2025-10-07T11:30:59.335107+00:00,0.0,0.0,0.0,0.0,0.0
2025-10-07T11:43:30.340868+00:00,0.0,0.0,0.0,0.0,0.0
2025-10-07T11:55:43.400220+00:00,0.0,0.0,0.0,0.0,0.0
2025-10-07T12:25:02.954427+00:00,0.0,0.0,0.0,0.0,0.0
2025-10-07T13:05:40.228052+00:00,0.0,0.0,0.0,0.0,0.0
